┏━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┓
┃ Name                                                    ┃ Motors   ┃ Whl  ┃ CurrLim   ┃ Test     ┃ TTG   ┃ TractForce   ┃ MinVolt   ┃ PushCurr   ┃ TurnCurr  ┃ MaxSpd  ┃ Stages                      ┃
│ VEX Single Speed, Single Reduction Gearbox              │ 6        │ 4    │ 53        │ 0.0083   │ 1.1   │ 132.0        │ 8.3       │ 246        │ 123       │ 12.4    │ (12, 84)                    │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 53        │ 0.0083   │ 1.1   │ 132.0        │ 8.3       │ 249        │ 115       │ 12.5    │ (13, 50, 20, 54)            │
│ WCP DS Gearbox                                          │ 6        │ 4    │ 53        │ 0.0083   │ 1.1   │ 132.0        │ 8.3       │ 256        │ 127       │ 12.85   │ (13, 42, 24, 50)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 53        │ 0.0083   │ 1.1   │ 132.0        │ 8.3       │ 258        │ 129       │ 12.95   │ (11, 50, 30, 44)            │
│ VEX Single Speed, Single Reduction Gearbox              │ 6        │ 4    │ 54        │ 0.0083   │ 1.1   │ 132.0        │ 8.25      │ 246        │ 123       │ 12.4    │ (12, 84)                    │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 54        │ 0.0083   │ 1.1   │ 132.0        │ 8.25      │ 249        │ 115       │ 12.5    │ (13, 50, 20, 54)            │
│ WCP DS Gearbox                                          │ 6        │ 4    │ 54        │ 0.0083   │ 1.1   │ 132.0        │ 8.25      │ 256        │ 127       │ 12.85   │ (13, 42, 24, 50)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 54        │ 0.0083   │ 1.1   │ 132.0        │ 8.25      │ 258        │ 129       │ 12.95   │ (11, 50, 30, 44)            │
│ WCP DS Gearbox                                          │ 6        │ 4    │ 46        │ 0.0083   │ 1.1   │ 131.89       │ 8.85      │ 256        │ 127       │ 12.85   │ (13, 42, 24, 50)            │
│ VEX Single Speed, Single Reduction Gearbox              │ 6        │ 4    │ 49        │ 0.0084   │ 1.05  │ 125.47       │ 8.65      │ 272        │ 142       │ 14.15   │ (12, 72)                    │
│ EVO Slim                                                │ 6        │ 4    │ 49        │ 0.0084   │ 1.05  │ 125.47       │ 8.65      │ 272        │ 142       │ 14.15   │ (15, 85, 34, 36)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 52        │ 0.0084   │ 1.05  │ 125.39       │ 8.4       │ 289        │ 150       │ 14.9    │ (13, 50, 30, 44)            │
│ WCP DS Gearbox                                          │ 6        │ 4    │ 52        │ 0.0084   │ 1.05  │ 124.48       │ 8.4       │ 289        │ 152       │ 14.95   │ (11, 42, 30, 44)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 48        │ 0.0084   │ 1.1   │ 131.61       │ 8.7       │ 267        │ 123       │ 13.4    │ (14, 50, 20, 54)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 46        │ 0.0084   │ 1.1   │ 130.64       │ 8.85      │ 256        │ 129       │ 12.95   │ (11, 50, 30, 44)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 50        │ 0.0085   │ 1.05  │ 123.56       │ 8.55      │ 278        │ 136       │ 14.6    │ (12, 50, 24, 50)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 54        │ 0.0085   │ 1.05  │ 123.56       │ 8.25      │ 300        │ 158       │ 15.45   │ (11, 50, 34, 40)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 54        │ 0.0085   │ 1.05  │ 123.43       │ 8.25      │ 300        │ 146       │ 15.5    │ (13, 50, 24, 50)            │
│ VEX Single Speed, Single Reduction Gearbox              │ 6        │ 4    │ 54        │ 0.0085   │ 1.05  │ 123.23       │ 8.25      │ 300        │ 159       │ 15.5    │ (12, 64)                    │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 51        │ 0.0085   │ 1.05  │ 122.92       │ 8.45      │ 283        │ 150       │ 14.85   │ (13, 50, 30, 44)            │
