┏━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┓
┃ Name                                                    ┃ Motors   ┃ Whl  ┃ CurrLim   ┃ Test     ┃ TTG   ┃ TractForce   ┃ MinVolt   ┃ PushCurr   ┃ TurnCurr  ┃ MaxSpd  ┃ Stages                      ┃
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 6    │ 33        │ 0.0334   │ 4.15  │ 124.19       │ 9.05      │ 251        │ 104       │ 10.45   │ (8, 62, 16, 40, 22, 44)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 6    │ 33        │ 0.0334   │ 4.15  │ 124.19       │ 9.05      │ 251        │ 104       │ 10.45   │ (9, 62, 20, 36, 16, 50)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 33        │ 0.0334   │ 4.2   │ 125.86       │ 9.05      │ 251        │ 106       │ 10.3    │ (11, 60, 20, 36, 18, 48)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 33        │ 0.0334   │ 4.25  │ 127.37       │ 9.05      │ 251        │ 105       │ 10.2    │ (9, 62, 16, 40, 26, 40)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 33        │ 0.0334   │ 4.25  │ 127.32       │ 9.05      │ 251        │ 105       │ 10.2    │ (11, 60, 18, 38, 20, 46)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.0335   │ 3.7   │ 110.56       │ 8.95      │ 258        │ 123       │ 12.1    │ (13, 58, 16, 40, 22, 44)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 6    │ 34        │ 0.0335   │ 3.7   │ 110.52       │ 8.95      │ 258        │ 120       │ 12.1    │ (9, 62, 18, 38, 20, 46)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 6    │ 34        │ 0.0335   │ 3.75  │ 112.03       │ 8.95      │ 258        │ 119       │ 11.95   │ (8, 62, 16, 40, 24, 42)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.0335   │ 3.75  │ 111.92       │ 8.95      │ 258        │ 122       │ 11.95   │ (11, 60, 20, 36, 20, 46)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 33        │ 0.0335   │ 4.05  │ 120.74       │ 9.05      │ 251        │ 110       │ 10.75   │ (13, 58, 18, 38, 18, 48)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 33        │ 0.0335   │ 4.1   │ 122.35       │ 9.05      │ 251        │ 109       │ 10.6    │ (9, 62, 18, 38, 24, 42)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 6    │ 33        │ 0.0335   │ 4.2   │ 125.19       │ 9.05      │ 251        │ 104       │ 10.35   │ (12, 60, 16, 40, 16, 50)    │
│ VEX 3 CIM Ball Shifter                                  │ 4        │ 4    │ 33        │ 0.0335   │ 4.2   │ 125.19       │ 9.05      │ 251        │ 107       │ 10.35   │ (12, 50, 24, 60, 24, 60)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 6    │ 33        │ 0.0335   │ 4.25  │ 126.95       │ 9.05      │ 251        │ 102       │ 10.2    │ (9, 62, 16, 40, 20, 46)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 6    │ 33        │ 0.0335   │ 4.25  │ 126.86       │ 9.05      │ 251        │ 102       │ 10.2    │ (10, 60, 18, 38, 16, 50)    │
│ VEX 3 CIM Ball Shifter                                  │ 4        │ 6    │ 34        │ 0.0336   │ 3.7   │ 110.14       │ 8.95      │ 258        │ 120       │ 12.15   │ (12, 50, 24, 60, 20, 64)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 6    │ 34        │ 0.0336   │ 3.7   │ 110.14       │ 8.95      │ 258        │ 120       │ 12.15   │ (12, 60, 16, 40, 18, 48)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.0336   │ 3.7   │ 110.05       │ 8.95      │ 258        │ 124       │ 12.15   │ (8, 62, 18, 38, 28, 38)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 6    │ 34        │ 0.0336   │ 3.75  │ 111.61       │ 8.95      │ 258        │ 119       │ 12.0    │ (10, 60, 18, 38, 18, 48)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 6    │ 34        │ 0.0336   │ 3.75  │ 111.51       │ 8.95      │ 258        │ 119       │ 12.0    │ (10, 60, 20, 36, 16, 50)    │
